Source,Target,weight
569871703161810,Bryan Lim Boon Heng (林文兴),5266
140311033032,Ed Gale,10488
542124725865776,Alex Gilbert,1182
24926878259,Marcos con pelos,11009
168110043302522,J. Merridew,934
357774310990523,Sheldra Brigham KFOR,8850
161055970583417,Tom DeLonge,11112
285125116237,Twins 蔡卓妍&鍾欣潼,110
107120516010831,Cauet,1725
621039434696943,R.J. Aguiar,799
158616044236195,The Super Collies,9846
546117438798403,Jay Haizlip,11014
558952754191644,Marin Mazzie,2562
8992670644,Nicole Chen,5994
851391434998230,Amiyah Scott,989
224801531198124,Tova Leigh - My Thoughts about stuff,11045
1460638924165250,Austin Evans,7149
102766843238210,Numerologa Claudia Sanchez,2037
191546427803,Johnathan Hillstrand,864
216509021703057,謝宜君 Yi Chun,6127
322311971179920,Joe Sugg,1218
1416927158578670,Libby Powell,4064
56369076544,Beppe Grillo,7948
753461951371915,Stefan Pinto,2321
368704519884205,Amaro Neto,6891
619202748096986,Karen Yankovich,2992
319562811401825,Loren Lott,9187
443005889088538,Matt Austin,1095
434061799970332,Daphne Wayans,7679
7983691791,Jennifer Granholm,10817
166905873451,Tommy Europe,2199
131069870331112,Munster - Mr. Fancy Pants,7558
110648979000995,Mat Devine,1311
135508069823350,Juani Martinez,4555
173616985995861,WeeklyChris,11024
207651469253238,Alex Newell,11494
800282350034089,Michel Wright,2531
287090971362924,Dr Sue Cancer Vet,6224
69856794462,Hanis Zalikha,2049
"1,01501197396351E+016",Rebecca Surran,4741
113900285301648,Eddie L. Long,1747
693607127440263,Phil Murphy,8168
71492090660,BeBe Zahara Benet,5196
30489153905,Covino & Rich,9379
191961734208077,Stephen Merchant,9316
221722077953753,David Grutman,10900
429476287169766,Daphne Selfe - Model,6082
192804798991,Keyshia Ka'oir,5836
551663471652387,鄭宇倫 Allen Cheng,9890
300724113353859,吳申梅 GIGI WU,3946
109779054512,Louna Maroun,10040
1404523946467571,Gina Salazar,8685
604790586208863,Kelly Osbourne,10281
220564378011468,Jake Reed,6314
197776560255053,Leah Light,10092
278959564056,Stu Ostro,3283
1596431383963293,Nona Kanal,3407
115354248481145,小潘&寶拉,856
110346045652596,Bret Fox In The Morning,3325
1493689137598685,Silvia Wollny,1516
41781048116,JEREMSTAR,4534
120406908035134,Kosha Patel,8620
404479649603837,Mohammed Ansar,8690
1755367921368468,Horacio Pancheri,5422
263112753768967,Rezigiusz,9500
1535402010036130,Rachael Gray,6348
217309415692,Sunny Dawn Johnston,814
124434037678722,Raquel Pomplun,3061
278319439037905,Brennan Mejia,6172
191566214200570,VivaLuxury Style Blog,11279
87625716759,Tom Skilling,7476
146565318871934,Salvatore Micillo,1032
745790598774997,Glency Feliz,74
291667837558677,Patrick Morrisey,2791
1607089219555008,Puritylaser,6983
208403855840588,Elle the Pit Bull,1888
608697619219051,Eduardo Jorge,5340
570015296421885,Alberti Popaj QVC,11563
144202545633556,Andrea Boehlke,2205
92138413090,DJ DEMP,2478
104135916602477,Darrin Reay,6042
324419024371107,melty Talents House,5429
69644677770,Rev. Tony Lee,10297
99856399984,Gigi Lin 林如琦,5487
201175069914597,Levi Elekes,10605
172406736131782,Kristy Titus,2005
185831574772719,Barbie Kiwebaby,2457
138734771522,Edi Rama,4208
169687486427698,Jentezen Franklin,10264
1074427052620790,Claus Dierksmeier,11180
198902446794185,Moisés Naím,3346
943313102400431,Salvatore Lioniello,9665
312245012461271,Carlos Slim Helú,10705
474939079220141,Lunchbox Dad,8182
178743402175891,Tammie Brown,2606
79666771147,Kim Coles,10489
757956457684756,Bendrit,8510
144833988869870,Ahmad AlShugairi -  أحمد الشقيري,5530
30332546206,Vivian Balakrishnan,9751
167277609957203,Nikki 小閃,8271
606835372692658,Carol Ammons,1832
159524560732028,Shaykh Yusuf Badat,11509
597573073598283,Brandon McMillan,10749
252182058316005,Julienco,4319
328359505495,Johnny Wimbrey,9917
205871529547556,Indiretas do bem,7756
195648756735,Philip Labonte,2461
540395599395958,Dana White,11226
499358210075522,Ines Ligron,3848
1498499207041502,Joe Luginbill,9618
1453470311647266,Cara Delevingne,726
143676952500669,許志豪,7991
117213881639889,陳美鳳 Meifen Chen,3175
132574183462213,Riae,1884
322290794534373,Michael Pachen,1937
322610067885385,利菁 Regine,6853
489504764396787,Coleen Rooney,427
474986902604603,Andre Pilli,6662
118147188264948,Linda Zervakis,1432
194155110594763,Florian Weiss,10877
709662485815853,Capucine Anav,3028
392297737453572,Ray McCauley,1
125440227479670,張安琪 Angel,1481
394894957298253,搞怪甜姐兒。歐妮oni,9101
57640337090,John Fulton,5514
412975565538155,Jake Boys,292
312869758756510,Matt Fraser,9207
497094550412292,古小兔,3538
154767484533761,Sea of Shoes,5278
167633226631991,Hugh Jackman,1011
124216385492,Teni Panosian,5534
680363615377352,Fernando Rocha,7812
121428217872872,星星王子,5823
106247902738998,Y-TITTY,5129
104233301949,Oli Pettigrew,10788
650478585049980,Sam DeBianchi,10379
465290326910390,Peter Imhof,3340
112107178803789,尹莉(BoBo)官方粉絲團,1240
110372295784018,Javier Saldaña,4812
283874388377974,Art Leal,125
22193014176,Kyle Broflovski,492
100183223376571,Caitlin O'Connor,2337
213050875555052,Bill Malone,3977
376265966081,Micah Materre,174
1572292753076337,Liz Katz,4280
1599749406965510,Tanner Thomason,5541
168457636499199,Claire Kellett KMOV,7004
297542633108,Bill Green,6238
337544039873,Janell Wheeler,7330
86263249515,Nova Meierhenrich,5146
83645111195,Amy Kushnir,2429
202176389808902,白家綺,262
286307364872227,Aaron Carty's Beyoncé EXP,2845
296183813058,Antonio Carluccio,7447
128696220663501,Mimi Ikonn,5521
398469707013783,Amie Hoeber for Maryland,2701
129144903780173,Manuel Scott,6315
481054145290944,Roman Lochmann,7148
362636490489946,Entertaining with Beth,5653
240375792736359,Nadia Bolz-Weber,2144
133530416711907,可青,4722
408868815841613,Melissa Gorga,3651
108649447959,Ruda Z Ostravy,180
533717230011499,mrbrown,6040
122567164491235,林利霏 Gina Lim,10604
204329982950607,Ngozi Okonjo-Iweala,11260
136911139668404,Nikki Glaser,147
406456986070332,Matt Gaetz,9807
113208373525,Paris Hilton,3399
595014824013268,Blaire Bercy,4049
443643505814273,Nieves Álvarez,3801
509559519236454,Professor Noel Fitzpatrick,7226
172803462773634,Valerio Staffelli,5233
189080897857277,Tim Roxborogh,3446
238718396161780,ROJO,8499
320702897978133,"Kevin ""kev1ntv""  Rubiszewski",11083
84531594532,Rachael Finch,6105
274507413343,Tim and Eric,4907
128927636298,Jon Gordon,2398
1419596621586845,Lisa Marie,6138
108894139163703,Mascha Vang,3208
112122455482530,Nick Uhas,8657
1044673528940967,Heather N West,6527
338462532890057,Courtney Eaton,6715
1609978052624522,舞陽 - Uyan Tien,5672
44094531963,MistaJam,3667
161353557259047,Tim Robbins,4528
229330620465275,動感甜心〃小綠兒,5663
407496269460626,Larry Miller,10469
156799800915,飛小橘,1975
162969880230,Melissa Long,3522
200801366622612,Dep. Paulo Freire,5792
200144556761182,Aunty Acid,2868
195226253875577,Laurent Lamothe,7968
1511426212516926,Anna Maria Valencia,7494
278879192259479,Noholita,2426
154423597944620,Lalchand Rajput,7017
481354601931815,LOLA,7919
594376880577670,The Purple Flower,8257
159901363311,Oliver Polak,3938
151524155009929,無與魯比〃Ruby,3850
334909403223947,Karen La Coqueta,7790
123780867676067,Promise Tamang,7798
348563734527,Miss J Alexander,11564
1449308358699498,Yexel Sebastian,9488
354701894719,Hesham Afifi - هشام عفيفي,8988
209293032551528,Phat Girl Fresh,10457
167592776597685,米可白,65
966094956757274,Raymond Braun,93
152402291782140,Adrian Curaj,10250
1485885795034539,Manuela Serra,8783
191891594328645,Slaymassive,5133
139825689508312,Levi van Kempen,5088
396697410351933,נפתלי בנט - Naftali Bennett,4539
1446316765653556,FSC,3733
101753499861061,Hayley Orrantia,5646
57546906673,Frank Hvam,3632
270257329978,Marina Marraco,2036
250130505052103,趙心姸,4224
223234001038266,Alexandra Jamieson,9671
387927301640,Edoardo Stoppa,8409
36872302227,Cory Booker,4119
301967103223907,Natasha Poly,9354
643915825741745,KathyzWorld,11532
517418121609025,Vicky Chan,11139
121300611251938,鍾欣凌,5528
15765096041,Brandon Carter,6223
404431739662140,Derek / Silver Unit Racing,4178
238579402850204,Jamie Alderton,9530
138060536246548,Gabrielle Kerr QVC,10169
342701875787123,Mariela Bagnato,10555
145909268944270,Allie Swope,1906
284598038255207,Isabelle Ménard,7701
125381887477988,Paul R. Giunta,6468
18889122653,Bishop Neil C. Ellis,3138
195603220625887,Josselyn Garciglia Bañuelos,10975
305979449434711,Rafa Polinesio,6922
154303804617941,RickDees,4675
657070411062471,Anas Sarwar,2540
84823205834,"""The Guncles""",9308
190889450960462,Marc Ecko,10649
95674184124,James Van Praagh,4393
89175368528,NDPeeps,3134
108760548407,Lady B,6030
219329908083467,Darius McCrary,992
280414268725703,Invento Na Hora,2260
233676290010841,Matt Rinaldi,1346
140229586049381,Adam Jarubas,7958
337435704153,The Dave Ryan in the Morning Show,5221
262620790514856,Samuel Dixon Fitness,9033
140237442671408,黃荻鈞 Debbie Huang,8887
355224697921100,Gio Villalba,8438
785562011463464,Karisma collins,9991
101904383232297,Jesse Lechuga,4868
450870771635009,Brooklyn and Bailey,7399
37616066366,Gino Strada,2760
150455861700307,Eros Biondini,9226
120092414685081,Russell Haythorn Denver7,4210
639533639494722,Ketuk-Ketuk Ramadan,861
226770547339231,Korvi Rakshand,10057
719839498113250,Matt & Meshel,1520
190962180945684,Tin Pei Ling 陈佩玲,6593
252002394985804,Rep. Sean Lynn,7593
827052287332511,Alhinna Vargas,1497
145577882121082,周采詩 - Tracy Chou,10378
245773508934860,Sarah Topmodel 2014,11258
203644009841869,Hubert Cormier Nutritionniste,411
146569968802610,Jouelzy,8130
128593600493367,鄭博夫,4894
328284310624830,"Mario Godiva. Fitness, Food, Life.",8036
107769392619585,Mat Franco,8621
314899198668853,Gary Lineker,10085
172348966125763,李開復 Kai-Fu Lee,5696
158327744441,El Show De Piolin,3511
128801740656,Senator Risa Hontiveros,2054
161636477326673,Dr. Nigma Talib ND,11552
285684190054,Hal Sparks,6677
340531243348,STEVE FM Roanoke,9445
119332171516913,PL Cloutier,1084
1787013251510549,Morten Resen,4333
425605314227010,Helder Barbalho,303
124626150896711,YellowMellow,4628
646765242083621,Nima,9431
72908668436,Pedro Julio Serrano,11375
888440174636044,Elizabeth Saint,9699
117222070378,Pat Tomasulo,7868
173907335970047,"Bruce Gietzen, Baylor University",11280
175196655829313,Nullinger,5752
276444342482651,Rob Greenfield,10707
265985133581267,Trent Silver,1767
1427597557544500,萍萍兒 Ping,4802
59054132688,HANALEI,1241
1715797341972863,Mareile Höppner,3669
895261453868600,Jenna Jameson,8428
555092067904176,Susie Meister,11
140914865954263,Kim Lee,8387
1027165964020900,Darci Lynne,3954
1693251177575877,Daniel Sharman,5892
191055767595683,Dennie Klose,9561
480296875370876,Josephine Welsch,3668
167340396661973,Valentin Bosioc,6814
306155199455583,Neal & Michaele Schon,8724
138163539663201,Vagabrothers,7954
280806322007833,Jules Lund,2326
1438614723032460,Baby J,10561
387978544612199,黃大鈞,1810
413108612117965,Paola Carinelli - M5S,4767
96761506615,The Yes Men,9619
142280245792412,Tim Hatten,6969
122930177760524,Clinton Kelly,8305
1451594495162903,Joey Kidney,10999
106837736046876,Robert Gwiazdowski,594
153848297996307,Abu Abdissalam,5629
37853267000,Taryn Southern,365
120604871293696,Leopoldo Abadia,11074
1026205664127010,שירה רודרמן - Shira Ruderman,3843
532878150185585,Abbey Curran,6447
264641617269,Hickok45,2592
496453373762496,Strive Masiyiwa,2441
165377973963,可藍 Colleen wei,5009
171434456623,阿緯 劉峻緯,4799
264664350371842,SKabeche,4244
130997893579980,Bobby Tonelli,6072
936582126377058,Aaron Perry,2140
1432967253600032,HAMMY T.V,3459
252615174437,Sara Celi,3631
325268970968348,America's Miss World,1871
1383978871822677,Jay Ducote,2223
318237531578998,Íris Stefanelli,3057
159146770767067,Ryan Nickulas,2544
975861815781062,Baratunde Thurston,3423
522391027797448,Luigi Di Maio,6901
120164054682813,王騴之,6777
105501256151476,Tige and Daniel,10221
181574978684085,Rachel Cruze,6064
1596341080651354,Chanelle Wyrsch,10654
137930776283,Gary Pepper Girl,2725
106300899437929,Patrick Hässig Moderator,4019
101554480001074,Jones & Company,4261
41985816567,Ingo Appelt,4950
433907076754181,Daphne Groeneveld,9599
556020711085916,DaniRep,7771
75965368215,Christopher West (Official),680
180272278688917,Andrea Cioffi,11193
64111603598,Christopher Rice,10024
527122883977897,Kamp Kenan,3074
440813059389246,林上立醫師（美容醫學/皮膚專科）,6683
161297157250955,Nadyasonika,8558
164284170312488,Lea Black,2379
171543599522900,Jailene Cintron,3221
158762280847614,Kabaret Neo-Nówka,806
188458483938,Hilary Rhoda,457
1014998055199508,Alex Randolph 杜雅力,3107
311433495566503,Vera Chimera,7893
142314982455439,Romeo Tan,4997
206887669389296,Jayde Nicole Fitness,7827
287294704653329,Mikaela Shiffrin,1784
176968833878,Sarah Dussault - SarahFit,2404
148512581835921,Martin Rütter,8262
519087554805391,Henry B Eyring,10753
34557807182,Janet Hsieh 謝怡芬,6582
170137353075713,張敏紅 Min Hong Chang,10990
1388732991387251,Jackie Redmond,4825
40975895819,Martha Coakley,1165
58407459601,Gabriel Iglesias,2372
253623811449509,林佑威,3070
232091776823982,Six.S六樂弦,4487
697784876962128,Miguel Urbán,1563
34475365959,Judge Greg Mathis,7691
264648120384392,Ilya Volkov - Official,5234
126406450745685,Luna the Fashion Kitty,1567
6897124889,Nardwuar the Human Serviette,3245
147331278745420,Imad Kotbi - عماد قطبي,7134
723448881050749,Krystyna Lennon and Hypnodog,10461
110421112367476,Melody Pettit,3661
218940361466166,BeautyBargainHunter YouTube,8710
1097144073632868,Soha Ali Khan Pataudi,5317
276365735821,Beto Perez,10647
291909924291011,Rushion McDonald,944
667302269951965,Katrina Ruth,2818
24002876072,Ana Free,7341
417194941754144,Scarlet Ortiz,3811
458466927624008,Gossip Greg,5558
206128952902682,Debbie Matenopoulos,355
1380502268944822,John Burk,2981
1906021052957307,Cheryl Chan 陈慧玲,5881
73052852392,Sabrina Soto,1500
119400288227788,Clyde Puli,1606
130331220436097,Koya Webb,9016
713831322081832,Galit Breen,8028
512797322135167,Calum Mcswiggan,6231
561940227176760,A Moda da Manu,5038
193200280752516,Miranda Ibañez,6616
160442195927,Karen Civil,2816
359219790787370,Kaluch,4514
227802347245592,Stephania Stegman,1447
151315623555,Ingrid Hoffmann,4108
196448970418895,MDR JUMP Morningshow mit Sarah und Lars,6884
114897131968658,Callie Bundy,2163
290318604353844,Skai Juice,643
271247409666545,Funk You,8011
135341786516814,Heng Chee How,6854
279884492053267,Chaunty Spillane,3054
118548044850195,Carmen Lynch,3197
310896698964756,Meagan Good,5191
691708960948597,Geography Now,5776
137484542937357,Cynthia Loyst,4811
169626596564494,Richard Betts,8411
294591180601746,Dr. Carlos Lomelí Bolaños,10943
408585429256302,Larry M Titus,750
245748408805454,Miss布丁,9350
147701948663561,Kyle Dennis,6287
140186546141194,Gelsimar Gonzaga,10814
208447165858450,Nancy G. Brinker,227
394237217329234,Emma 倪雅倫 粉絲團,7128
28634626595,Daniel Kim,5122
114722198588289,Kyle Clarke,1034
15076031003,Navi (The World's #1 Michael Jackson Tribute),11001
280300071791,Mihai Morar,3841
152472528096222,Massiel Carrillo,1074
101983393218223,Mark Steyn,11435
174106812612368,KSAT 12 David Sears,11469
116557798222,Miles McPherson,3177
351806174926818,Melissa Faith Payne,2100
439309389507967,Motoki Maxted,4023
179614862130504,Aniki (趙辰祥),5393
78612416276,Eric Bolling,6297
105552772882113,韓佩穎主播 Natalie,8479
383142061830634,Matthew Mockridge,10239
133979593927,NENE LEAKES,8280
121875464594260,Cristina Blackwell - KENS 5,3136
289104174512182,Andrew Cripps Qld,10835
51656960865,Menderes Bagci,3832
375843761638,Nick Verreos,4059
124165494262644,Fabrizio Corona,6682
157214764381085,Kati Morton,4571
171458232878841,Ana Hickmann,618
257977500936,Tonya Tko Show,6094
154784864553644,"Steve Stucker, New Mexico Weatherman",6612
425864400806398,"Aviva Romm, MD",3009
115920848426267,Nick Scott,1870
118628014913903,Jaline 葉羿君,10930
113105428814029,Erko Jun,2179
153133734751827,Timothy Allen,1946
150560995018642,貴婦<俞婷>粉絲團,678
738324899618923,MasterChef Australia 2015: Fiona Grindlay,8634
235590699799579,Tonya Rivens Live,7478
187775731359502,Deputado Givaldo Vieira,8508
275740099145666,Cherry,10048
292227230969075,Josh Felber,3979
101117752841,Betty Autier,10619
163857773763529,Juanda Oviedo,3418
71925056116,Lola Berry,5878
238931776247060,Nova Peris OAM,1866
648424351842521,吳姍儒 Sandy Wu,5706
105146469524713,雙胞胎 依依佩佩  的 依依,8351
175106081642,CLARA MORGANE Officiel,5971
180114375499546,Squeezie,8514
326396397511578,庹宗康 Shotgun,8926
146691328683019,Kris Williams,3901
612331222182606,Donika Krasniqi,3780
767466333288086,林佩佩 DJ Pei²,4841
235736523120586,Sarah Anne Stewart,5512
292030088587,Brian Buffini,2940
193595964003052,Thomas Rivera Schatz,1691
154531221263126,Cutesygirl09,7383
88982097676,Neil Haskell,1357
219273021497665,FullyRaw,2939
655270567832768,Diana Starkova,9761
298474646943103,José Pablo Minor,4742
169861889799672,小茉莉-陳瑀希,4778
370599759700875,Bad Yogi,8918
106080275282,Josh Flagg,1019
134845143218290,Whitney Miller,10856
749370545157144,陳怡吟 Eva,4611
899354716848024,Felicio Ramuth,7999
203245896373839,Tessa Gelisio,1973
79448278670,Xavier Serbia,583
344446937390,Marla Maples,9757
430697073656172,Alexandria the Red,5773
478088328893184,Chiru Sarja,7374
233353043406424,The Mens Room,155
272045249605562,Nathanael Boucaud,4221
446967395415731,Angelo Tofalo,6401
292478944144260,Wayne Hart,440
1433223663591040,Barbara Strohschein,2694
117546558274794,Flex Alexander,5368
244443682394855,Jadah Sellner,7362
177124715803316,Mark Miller,4489
403823499730228,Retovlogs,8322
542429849196498,Zuri Hall,2093
215563731927143,Assemblyman Jim Patterson,213
1606067056338945,Adam Busby,9328
626145264083118,Allouche,2891
134172873284071,李妍憬,8007
259893984199277,Andreas Rühl,1304
581434585310174,Shay Diddy,8955
114841785205037,Kate Northrup,100
1425961037623957,Forrest Galante,10300
199861756772987,Chris Hogan,9744
1686245284942616,K2Twins,1706
333720436693386,楹子,7974
594361603999627,Olly Mann,10842
127948757218233,Tony Evans,4814
14105972607,Seth MacFarlane,1401
97458155742,Julian Castro,10145
222550661132178,HeyKayli,10027
443906579041681,Diego Ubierna,1219
139385756093781,Matheus Mazzafera,7092
144191708975703,Jim Chapman,7312
384250401622915,Gino Chouinard,1036
123052581161518,Fiqrie,908
40469415679,Fernando and Greg,6284
320303058025814,Avril Mathie,11317
188845524498794,Justin Roberts,5054
116718101740797,Bullshit TV,4733
206045340006,Blue Jean Chef,11284
117962414914128,Brendan Courtney,11019
189842698066346,Mexicana Universal Chiapas,3605
500554320042875,Victor Cui,8164
90177498514,Bo Mitchell,9841
33103879393,Colin Cowie,2547
579635748735783,Vincenzo Caso Cittadino portavoce alla Camera,1006
429790917082686,Walo HD,5470
198942333470210,王中平和余皓然愛的小屋,525
238288763221500,Rania Hoteit,10613
138491452940737,Ann-Kathrin Vida,8755
208631569158912,João Montez,1698
258972534212866,Fit Men Cook,809
1526499590961276,Fiona Ward,10860
264748113674249,Daniele Barresi,5622
318717085099,麻利有隻小綿羊,7119
683631855082669,SpeXial-風田 Win,2532
335231986514047,Cícero Lucena,7370
173832772670770,Mia 小米兒 WGS,7583
103932533095551,Megan Terlecky,5326
416622101828819,Katha Wandrowsky,1847
229010428783,Tera Carissa Hodges,7415
271684199517126,Julie Andrieu,1062
1075809585784921,Guido Genetic,9352
213859635432413,Adam Waithe,1073
156887131087753,Melissa Ambrosini,8917
708232959354851,J0k3R,9318
1134279343265737,Joel Eggimann,7813
356522075947,Kasper,3464
53789920151,Bobby Shriver,1041
116126191747687,Gillian McKeith,211
180892231992550,Pr. Lucinho Oficial,422
16400236231,Hamish & Andy,5517
810119669061029,Emilio León,1915
166254986721891,Brandon Aki,11030
1151795404837006,Erick Krominski,1490
274484002563844,Fashion By Ally,3449
329553673842013,Rhys Lawrey - 2moro Rider,9816
1493491174209750,姚蜜 Fairy,10882
277297625692996,Patrick J. Kennedy,8925
204046486326276,Dr. John Berardi,6742
529548870507145,Shéridan Oliveira,2758
106456969389117,Stefan Gödde,3211
185139171667,Daymond John,1565
1525103331035716,Rose Bertram,6579
155358381300799,Meredith Underwood,8231
552465834896037,BB Ki Vines,9562
321059264937710,BIG RJ Balaji,8771
185750861505593,Rosanna Queirolo,8985
131521525862,Tommy Rosen,4986
582117211906054,胡小禎,2830
210333902420876,Sean Parnell,9087
248979945188727,Mattia Rissone,9827
169552423070535,Steve-O,3825
134789279919733,Regina Casé,4103
655593534454571,Jamie Oliver's Food Tube,11094
1526754707544762,Cornelis,2336
117330461646139,Cleve Bryan,8327
228379693866867,Maricielo Effio (Página Oficial),8547
380804165282469,Sara Kulka,3765
123636136854,Tamara Lackey Photography,5241
95638994407,Terry Nazon World Famous Astrologer,5444
580373678688183,郭書瑤 瑤瑤,693
630016180482514,40 薛仕凌,10639
329314050549754,Dead Flip : Pinball Streaming,3526
330300883714439,Luizianne Lins,5784
132886043446888,La Central,6954
56629329913,Aflac Duck,11560
1559836444232631,Maria Borges,1055
244056162351108,Jaco de Bruyn Official,4953
130616083651304,Chris Glorioso,2356
164175656946132,Ken Ham,888
240463912754249,Nocxx,8235
252194218216289,林雨葶,1025
183757934994246,Nonchalant Gourmand,3129
154092474632496,Aloysio Nunes Ferreira,829
790738344341698,The Supervet,10134
192674054145822,Paul Carrick Brunson,634
1719890501567706,李騰 Lee Teng,416
386585871464302,雞排妹ili鄭家純,4913
242114035882,Deondriea Cantrice,61
1374962806097556,Walt Windham,586
135612628266,Louie Anderson,11300
307812318023,Jim Stoppani,5212
140746512187,Tara Stiles,7764
407945349278723,Tyler Henry,3897
295198957174327,Paulo Vieira,11386
404109779608744,Michelle Bridges,3250
340484854847,Joshua Jay,1797
633755483324728,Matthias Steiner,6971
12978470473,Hans Teeuwen,5474
674743779237875,Hakim - Black MacGyver - Isler,2825
759922444100085,Alena Shishkova,8776
251004191629597,Noah Douglas Neiman,8701
138336527416,Temple of Balance,8984
119578754788875,Ashleigh Jade,4072
379272905710,MARIMOON,6012
38781142316,Mike The Tiger,6107
37775617629,Dj Black,4092
415816925178302,Kara Maria Ananda,9474
194556130663853,Danièle Henkel,2616
162179943820215,PC Siqueira,9669
138962517455,The Sleep Lady,5441
502392023135891,Lino Cayetano,4840
174613745904603,Rosy McMichael,3883
442366739205536,Edita Torić - Model,6885
417013451843344,MeechOnMars,9243
178490092198564,Amanda Dickson,2329
143533229003652,Juztin Lan 劉界輝,7422
443431859028291,Shriram iyer,106
89886503094,Annika Ernst,4303
160773230655222,蔡嘉寶 Akina CHOI,10718
683126645112628,Jordan Clark,5552
89757266730,Miss Mykie,2158
139967886369513,Marius Bostan,3093
228842117131936,Metisha Schaefer,9942
156441051056531,Mike Süsser,6523
432075783518323,吳心緹,4990
218413058295966,Sucheta Pal,768
225377564285449,Anais Zanotti,8019
136711693005913,Bill Bennett,10451
150297821684348,William Constantine,3059
416254018565730,Noelia Vera,4818
103883979667155,Kim Rusk,4858
52177295818,Melissa Anelli,7997
207184559439075,Tutweezy,11267
106667765955,Alanna Rizzo,10135
430366133757760,Christian Tews,3467
58007095209,Kevin Zahri,688
622506141223354,周庭 Agnes Chow Ting,876
521008937986878,Sugar Sisters Katie & Lucy,9620
318196171580489,Ron DeSantis,7987
286520224714905,Solveiga Mykolaityte page,1495
488780774510695,Ezenete Rodrigues,1474
772568189464273,The Real Gary Yourofsky,9957
680409548739657,TaTiana Cash,7499
171621846223838,Salvador Raya,10205
112457240125,Marsha Collier,10568
579170225573994,Alex Klokus,7135
167714036655809,Jodie Marsh (Official),3422
179172048837067,Paul Rosolie,2262
686544484705253,Juanmasaurus,3183
6281148998,Superman,8369
383267588473287,Lauren Bush Lauren,154
14563804934,Michaëlle Jean,622
212903932074407,Johanna Castellanos,2273
44112503694,Ben Shephard,8920
115416621866461,Civilized Caveman,4532
382054755160317,Matthias Opdenhövel,7183
108383042565000,Candice Michelle,10383
508839552462413,Paluten,4089
117534411600257,Derwin L. Gray,4372
354971634519625,Kyla-Drew,6943
684474614905347,Edona James,10989
193668580799195,Marta Trovato,4339
210688726947,Gone to the Snow Dogs,1242
690995830992637,Kane Cornes,4154
1503745219913314,"孫大千Sun, Ta-Chien",9188
129636097148515,"José Enrique ""Quiquito"" Meléndez",6220
1014897278537519,Heather Rivera,8119
22282574446,SpandyAndy,2313
288610491340795,華流之星 TOP STAR,2109
412665418794113,Claus Jensen,6048
545906478773562,Clarissa Molina,10530
151066551646378,Berni,10869
165655690266671,Daniela Albuquerque,6398
219334724761679,Ruka Hore,4978
147597412069783,Miss Kitty The Fluffy Diva,10210
629523323807742,Alvin Yeung 楊岳橋,9326
296514050479380,曹雅雯粉絲後援會,7574
468508013320444,Vlad Alexandrescu,7925
